"","grCat","grSum","spCat","genspDf$spCat"
"14","encrusting",130,"Montipora (51.5%): Porites (13.8%): Cyphastrea (13.1%): Favia (4.6%): Pavona (3.8%): Acropora (3.1%): Favites (3.1%): Galaxea (2.3%): Goniastrea (1.5%): Hydnophora (1.5%): Stylocoeniella (1.5%)","Montipora NA (25.8%): NA NA (10.6%): Porites NA (9.8%): Cyphastrea microphthalma (9.1%): Favia NA (4.5%): Acropora NA (3%): Favites NA (3%): Montipora grisea (3%): Montipora turgescens (3%): Cyphastrea serailia (2.3%): Montipora corbettensis (2.3%): Montipora effusa (2.3%): Montipora informis (2.3%): Montipora mollis (2.3%): Pavona venosa (2.3%): Porites lichen (2.3%): Cyphastrea NA (1.5%): Galaxea astreata (1.5%): Goniastrea NA (1.5%): Hydnophora microconos (1.5%): Montipora floweri (1.5%): Montipora peltiformis (1.5%): Montipora spongodes (1.5%): Stylocoeniella armata (1.5%)"
"15","phaceloid",132,"Galaxea (64.4%): Lobophyllia (32.6%): Caulastrea (3%)","Galaxea fascicularis (27.6%): Galaxea NA (26.2%): Lobophyllia NA (24.1%): NA NA (9%): Lobophyllia corymbosa (5.5%): Galaxea astreata (4.8%): Caulastrea NA (2.8%)"
"16","corymbose:corymbose",141,"Acropora (98.6%): Galaxea (1.4%)","Acropora NA (43.6%): Acropora digitifera (15.8%): Acropora nasuta (12%): Acropora milleopora (5.3%): Acropora valida (5.3%): Acropora cerealis (4.5%): Acropora selago (4.5%): Acropora hyacinthus (2.3%): Acropora nana (2.3%): Acropora gemmifera (1.5%): Acropora secale (1.5%): Acropora tenuis (1.5%)"
"17","digitate:digitate",113,"Acropora (100%)","Acropora humilis (33.3%): Acropora NA (32.4%): Acropora gemmifera (17.1%): Acropora digitifera (10.8%): Acropora monticulosa (3.6%): Acropora lutkeni (2.7%)"
"18","vase",81,"Acropora (95.1%): Stylophora (2.5%): Galaxea (1.2%): Porites (1.2%)","Acropora NA (38.1%): Acropora digitifera (22.7%): NA NA (16.5%): Acropora gemmifera (11.3%): Acropora humilis (4.1%): Acropora hyacinthus (2.1%): Stylophora NA (2.1%): Acropora cytherea (1%): Galaxea fascicularis (1%): Porites NA (1%)"
"19","branching/bush",71,"Acropora (50.7%): Pocillopora (35.2%): Stylophora (7%): Galaxea (2.8%): Seriatopora (2.8%): Goniastrea (1.4%)","Acropora NA (35.6%): NA NA (21.1%): Pocillopora damicornis (15.6%): Pocillopora NA (10%): Stylophora NA (3.3%): Acropora robusta (2.2%): Galaxea astreata (2.2%): Pocillopora verrucosa (2.2%): Seriatopora hystrix (2.2%): Stylophora pistillata (2.2%): Acropora echinata (1.1%): Acropora muricata (1.1%): Goniastrea stelligera (1.1%)"
"20","arborescent table:arborescent table",72,"Acropora (98.6%): Isopora (1.4%)","Acropora NA (43.1%): Acropora robusta (22.2%): Acropora digitifera (12.5%): Acropora nasuta (4.2%): Acropora abrotanoides (2.8%): Acropora florida (2.8%): Acropora intermedia (2.8%): Acropora acuminata (1.4%): Acropora lutkeni (1.4%): Acropora milleopora (1.4%): Acropora monticulosa (1.4%): Acropora papillare (1.4%): Acropora valenciennesi (1.4%): Isopora palifera (1.4%)"
"21","branching/frond",63,"Isopora (47.6%): Stylophora (25.4%): Pocillopora (17.5%): Acropora (4.8%): Galaxea (1.6%): Platygyra (1.6%): Porites (1.6%)","Isopora palifera (46.2%): Stylophora pistillata (24.6%): Pocillopora NA (12.3%): Acropora NA (3.1%): NA NA (3.1%): Pocillopora grandis (3.1%): Acropora robusta (1.5%): Galaxea fascicularis (1.5%): Platygyra NA (1.5%): Pocillopora damicornis (1.5%): Porites cylindrica (1.5%)"
"22","branching stout/frond",58,"Isopora (44.8%): Stylophora (43.1%): Pocillopora (12.1%)","Isopora palifera (42.6%): Stylophora pistillata (37.7%): NA NA (4.9%): Pocillopora verrucosa (4.9%): Pocillopora NA (3.3%): Stylophora NA (3.3%): Pocillopora damicornis (1.6%): Pocillopora meandrina (1.6%)"
"23","branching thick",49,"Acropora (67.3%): Stylophora (14.3%): Pocillopora (10.2%): Isopora (8.2%)","Acropora NA (44.3%): NA NA (19.7%): Stylophora pistillata (11.5%): Acropora robusta (6.6%): Isopora palifera (6.6%): Pocillopora damicornis (4.9%): Acropora digitifera (1.6%): Acropora humilis (1.6%): Pocillopora NA (1.6%): Pocillopora verrucosa (1.6%)"
"24","plate?",48,"Acropora (97.9%): Goniastrea (2.1%)","Acropora NA (63.5%): Acropora hyacinthus (17.3%): Acropora cytherea (7.7%): NA NA (7.7%): Acropora divaricata (1.9%): Goniastrea NA (1.9%)"
